,Identificação do dado,Data,Horário,Umidade média do solo(%)
,238,23/10/2025,03:00,30
,239,23/10/2025,04:00,30
,240,23/10/2025,05:00,35
,241,23/10/2025,06:00,40
,242,23/10/2025,07:00,45
,243,23/10/2025,08:00,50
,244,23/10/2025,09:00,55
,245,23/10/2025,10:00,60
,246,23/10/2025,11:00,65
,247,23/10/2025,12:00,70
,248,23/10/2025,13:00,65
,249,23/10/2025,14:00,60
,250,23/10/2025,15:00,55
,251,23/10/2025,16:00,50
,252,23/10/2025,17:00,45
,253,23/10/2025,18:00,40
,254,23/10/2025,19:00,35
,255,23/10/2025,20:00,30
,256,23/10/2025,21:00,30
,257,23/10/2025,22:00,35
,258,23/10/2025,23:00,40
