,Identificação do dado,Data,Horário,Crescimento médio do feijão (depois de germinar)(cm)
,69,16/10/2025,08:00,"2,898"
,70,16/10/2025,09:00,"2,94"
,71,16/10/2025,10:00,"2,982"
,72,16/10/2025,11:00,"3,024"
,73,16/10/2025,12:00,"3,066"
,74,16/10/2025,13:00,"3,108"
,75,16/10/2025,14:00,"3,15"
,76,16/10/2025,15:00,"3,192"
,77,16/10/2025,16:00,"3,234"
,78,16/10/2025,17:00,"3,276"
,79,16/10/2025,18:00,"3,318"
,80,16/10/2025,19:00,"3,36"
,81,16/10/2025,20:00,"3,402"
,82,16/10/2025,21:00,"3,444"
,83,16/10/2025,22:00,"3,486"
,84,16/10/2025,23:00,"3,528"
,85,17/102025,00:00,"3,57"
,86,17/102025,01:00,"3,612"
,87,17/102025,02:00,"3,654"
,88,17/102025,03:00,"3,696"
,89,17/102025,01:00,"3,738"
,90,17/102025,02:00,"3,78"
,91,17/102025,03:00,"3,822"
,92,17/102025,04:00,"3,864"
,93,17/102025,05:00,"3,906"
,94,17/102025,06:00,"3,948"
,95,17/102025,07:00,"3,99"
,96,17/102025,08:00,"4,032"
,97,17/102025,09:00,"4,074"
,98,17/102025,10:00,"4,116"
,99,17/102025,11:00,"4,158"
,100,17/102025,12:00,"4,2"
,101,17/102025,13:00,"4,242"
,102,17/102025,14:00,"4,284"
,103,17/102025,15:00,"4,326"
,104,17/102025,16:00,"4,368"
,105,17/102025,17:00,"4,41"
,106,17/102025,18:00,"4,452"
,107,17/102025,19:00,"4,494"
,108,17/102025,20:00,"4,536"
,109,17/102025,21:00,"4,578"
,110,17/102025,22:00,"4,62"
,111,17/102025,23:00,"4,662"
,112,18/10/2025,00:00,"4,704"
,113,18/10/2025,01:00,"4,746"
,114,18/10/2025,02:00,"4,788"
,115,18/10/2025,03:00,"4,83"
,116,18/10/2025,04:00,"4,872"
,117,18/10/2025,05:00,"4,914"
,118,18/10/2025,06:00,"4,956"
,119,18/10/2025,07:00,"4,998"
,120,18/10/2025,08:00,"5,04"
,121,18/10/2025,09:00,"5,082"
,122,18/10/2025,10:00,"5,124"
,123,18/10/2025,11:00,"5,166"
,124,18/10/2025,12:00,"5,208"
,125,18/10/2025,13:00,"5,25"
,126,18/10/2025,14:00,"5,292"
,127,18/10/2025,15:00,"5,334"
,128,18/10/2025,16:00,"5,376"
,129,18/10/2025,17:00,"5,418"
,130,18/10/2025,18:00,"5,46"
,131,18/10/2025,19:00,"5,502"
,132,18/10/2025,20:00,"5,544"
,133,18/10/2025,21:00,"5,586"
,134,18/10/2025,22:00,"5,628"
,135,18/10/2025,23:00,"5,67"
,136,19/10/2025,00:00,"5,712"
,137,19/10/2025,01:00,"5,754"
,138,19/10/2025,02:00,"5,796"
,139,19/10/2025,03:00,"5,838"
,140,19/10/2025,04:00,"5,88"
,141,19/10/2025,05:00,"5,922"
,142,19/10/2025,06:00,"5,964"
,143,19/10/2025,07:00,"6,006"
,144,19/10/2025,08:00,"6,048"
,145,19/10/2025,09:00,"6,09"
,146,19/10/2025,10:00,"6,132"
,147,19/10/2025,11:00,"6,174"
,148,19/10/2025,12:00,"6,216"
,149,19/10/2025,13:00,"6,258"
,150,19/10/2025,14:00,"6,3"
,151,19/10/2025,15:00,"6,342"
,152,19/10/2025,16:00,"6,384"
,153,19/10/2025,17:00,"6,426"
,154,19/10/2025,18:00,"6,468"
,155,19/10/2025,19:00,"6,51"
,156,19/10/2025,20:00,"6,552"
,157,19/10/2025,21:00,"6,594"
,158,19/10/2025,22:00,"6,636"
,159,19/10/2025,23:00,"6,678"
,160,20/10/2025,00:00,"6,72"
,161,20/10/2025,01:00,"6,762"
,162,20/10/2025,02:00,"6,804"
,163,20/10/2025,03:00,"6,846"
,164,20/10/2025,04:00,"6,888"
,165,20/10/2025,05:00,"6,93"
,166,20/10/2025,06:00,"6,972"
,167,20/10/2025,07:00,"7,014"
,168,20/10/2025,08:00,"7,056"
,169,20/10/2025,09:00,"7,098"
,170,20/10/2025,10:00,"7,14"
,171,20/10/2025,11:00,"7,182"
,172,20/10/2025,12:00,"7,224"
,173,20/10/2025,13:00,"7,266"
,174,20/10/2025,14:00,"7,308"
,175,20/10/2025,15:00,"7,35"
,176,20/10/2025,16:00,"7,392"
,177,20/10/2025,17:00,"7,434"
,178,20/10/2025,18:00,"7,476"
,179,20/10/2025,19:00,"7,518"
,180,20/10/2025,20:00,"7,56"
,181,20/10/2025,21:00,"7,602"
,182,20/10/2025,22:00,"7,644"
,183,20/10/2025,23:00,"7,686"
,184,21/10/2025,00:00,"7,728"
,185,21/10/2025,01:00,"7,77"
,186,21/10/2025,02:00,"7,812"
,187,21/10/2025,03:00,"7,854"
,188,21/10/2025,01:00,"7,896"
,189,21/10/2025,02:00,"7,938"
,190,21/10/2025,03:00,"7,98"
,191,21/10/2025,04:00,"8,022"
,192,21/10/2025,05:00,"8,064"
,193,21/10/2025,06:00,"8,106"
,194,21/10/2025,07:00,"8,148"
,195,21/10/2025,08:00,"8,19"
,196,21/10/2025,09:00,"8,232"
,197,21/10/2025,10:00,"8,274"
,198,21/10/2025,11:00,"8,316"
,199,21/10/2025,12:00,"8,358"
,200,21/10/2025,13:00,"8,4"
,201,21/10/2025,14:00,"8,442"
,202,21/10/2025,15:00,"8,484"
,203,21/10/2025,16:00,"8,526"
,204,21/10/2025,17:00,"8,568"
,205,21/10/2025,18:00,"8,61"
,206,21/10/2025,19:00,"8,652"
,207,21/10/2025,20:00,"8,694"
,208,21/10/2025,21:00,"8,736"
,209,21/10/2025,22:00,"8,778"
,210,21/10/2025,23:00,"8,82"
,211,22/10/2025,00:00,"8,862"
,212,22/10/2025,01:00,"8,904"
,213,22/10/2025,02:00,"8,946"
,214,22/10/2025,03:00,"8,988"
,215,22/10/2025,04:00,"9,03"
,216,22/10/2025,05:00,"9,072"
,217,22/10/2025,06:00,"9,114"
,218,22/10/2025,07:00,"9,156"
,219,22/10/2025,08:00,"9,198"
,220,22/10/2025,09:00,"9,24"
,221,22/10/2025,10:00,"9,282"
,222,22/10/2025,11:00,"9,324"
,223,22/10/2025,12:00,"9,366"
,224,22/10/2025,13:00,"9,408"
,225,22/10/2025,14:00,"9,45"
,226,22/10/2025,15:00,"9,492"
,227,22/10/2025,16:00,"9,534"
,228,22/10/2025,17:00,"9,576"
,229,22/10/2025,18:00,"9,618"
,230,22/10/2025,19:00,"9,66"
,231,22/10/2025,20:00,"9,702"
,232,22/10/2025,21:00,"9,744"
,233,22/10/2025,22:00,"9,786"
,234,22/10/2025,23:00,"9,828"
,235,23/10/2025,00:00,"9,87"
,236,23/10/2025,01:00,"9,912"
,237,23/10/2025,02:00,"9,954"
,238,23/10/2025,03:00,"9,996"
,239,23/10/2025,04:00,"10,038"
,240,23/10/2025,05:00,"10,08"
,241,23/10/2025,06:00,"10,122"
,242,23/10/2025,07:00,"10,164"
,243,23/10/2025,08:00,"10,206"
,244,23/10/2025,09:00,"10,248"
,245,23/10/2025,10:00,"10,29"
,246,23/10/2025,11:00,"10,332"
,247,23/10/2025,12:00,"10,374"
,248,23/10/2025,13:00,"10,416"
,249,23/10/2025,14:00,"10,458"
,250,23/10/2025,15:00,"10,5"
,251,23/10/2025,16:00,"10,542"
,252,23/10/2025,17:00,"10,584"
,253,23/10/2025,18:00,"10,626"
,254,23/10/2025,19:00,"10,668"
,255,23/10/2025,20:00,"10,71"
,256,23/10/2025,21:00,"10,752"
,257,23/10/2025,22:00,"10,794"
,258,23/10/2025,23:00,"10,836"
